AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,ExternalId__c,ExternalId__c (Assessment Indicator Definition),ExternalId__c Reg Code,Id,RegulatoryCode.ExternalId__c,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId
S 45.2.b.ii ,"Registrant must ensure transition plan describes risks to H&S of resident will be minimized before, during & after the move, & of an AL res of SU class, info or referrals re access to housing supports, pro hlth services & social services after the move.",0eubZ00000001IEQAY,S 45.2.b.ii ,S 45.2.b.ii ,S 45.2.b.ii ,0fMbZ00000000lyUAA,S 45.2.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000sQUAQ
S 45.3.a ,A registrant must ensure that a transition plan is developed with the participation ofthe resident.,0eubZ00000001IFQAY,S 45.3.a ,S 45.3.a ,S 45.3.a ,0fMbZ00000000lzUAA,S 45.3.a ,19pbZ00000002kzQAA,0fCbZ00000000sRUAQ
S 45.3.b ,"A registrant must ensure that a transition plan is developed with the participation ofif the resident is the beneficiary of a funding program and to the extent it is reasonably practical to do so, a representative of the funding program.",0eubZ00000001IGQAY,S 45.3.b ,S 45.3.b ,S 45.3.b ,0fMbZ00000000m0UAA,S 45.3.b ,19pbZ00000002kzQAA,0fCbZ00000000sSUAQ
S 45.3.c.i ,"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's contact person.",0eubZ00000001IHQAY,S 45.3.c.i ,S 45.3.c.i ,S 45.3.c.i ,0fMbZ00000000m1UAA,S 45.3.c.i ,19pbZ00000002kzQAA,0fCbZ00000000sTUAQ
S 45.3.c.ii ,"A registrant must ensure that a transition plan is developed with the participation ofone or more of the following, if and as requested by the resident and to the extent it is reasonably practical to do so:the resident's personal representative, if any.",0eubZ00000001IIQAY,S 45.3.c.ii ,S 45.3.c.ii ,S 45.3.c.ii ,0fMbZ00000000m2UAA,S 45.3.c.ii ,19pbZ00000002kzQAA,0fCbZ00000000sUUAQ
S 45.3.c.iii ,"Registrant must ensure that a transition plan is developed with the participation of one or more, if & as requested by the resident & to the extent reasonably practical to do so: the resident's med prac, nurse prac, or other appropriate hlth professional.",0eubZ00000001IJQAY,S 45.3.c.iii ,S 45.3.c.iii ,S 45.3.c.iii ,0fMbZ00000000m3UAA,S 45.3.c.iii ,19pbZ00000002kzQAA,0fCbZ00000000sVUAQ
S 46.1.a ,"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave under terms of resident's res agreement, a registrant must notify person's contact & if the person is the beneficiary of a funding program, a rep of the funding program.",0eubZ00000001IKQAY,S 46.1.a ,S 46.1.a ,S 46.1.a ,0fMbZ00000000m4UAA,S 46.1.a ,19pbZ00000002kzQAA,0fCbZ00000000sWUAQ
S 46.1.b.i ,"If residency ends unexpectedly, i.e. abandons the AL residence or required to leave (terms of resident's res agreement) a registrant must unless not practicable provide the person info re access to housing supports, pro hlth services & social services.",0eubZ00000001ILQAY,S 46.1.b.i ,S 46.1.b.i ,S 46.1.b.i ,0fMbZ00000000m5UAA,S 46.1.b.i ,19pbZ00000002kzQAA,0fCbZ00000000sXUAQ
S 46.1.b.ii ,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must unless not practicable provide a personal naloxone kit if  person is at risk of experiencing an opioid OD",0eubZ00000001IMQAY,S 46.1.b.ii ,S 46.1.b.ii ,S 46.1.b.ii ,0fMbZ00000000m6UAA,S 46.1.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000sYUAQ
S 46.1.c ,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must as practicable make a record of the event and of the actions taken under paragraphs .a.",0eubZ00000001INQAY,S 46.1.c ,S 46.1.c ,S 46.1.c ,0fMbZ00000000m7UAA,S 46.1.c ,19pbZ00000002kzQAA,0fCbZ00000000sZUAQ
S 47.1.a ,A registrant must make a plan describing the procedures to be followed topromote general health and hygiene amongst residents.,0eubZ00000001IOQAY,S 47.1.a ,S 47.1.a ,S 47.1.a ,0fMbZ00000000m8UAA,S 47.1.a ,19pbZ00000002kzQAA,0fCbZ00000000saUAA
S 47.1.b ,A registrant must make a plan describing the procedures to be followed toprevent the spread of infectious disease in the assisted living residence.,0eubZ00000001IPQAY,S 47.1.b ,S 47.1.b ,S 47.1.b ,0fMbZ00000000m9UAA,S 47.1.b ,19pbZ00000002kzQAA,0fCbZ00000000sbUAA
S 48.1 ,"activated e-cig""TVPCA""canna""CCLA""e-cig""TVPCA ""med canna CCLA""ReAct""(a)activity that is a rcon;(b)gr/storage of canna;""rcon""(a)to smk/use tobac/hold lighted tobac;(b)use e-cig/hold activated e-cig;(c)smk/vape canna;""smk/vape canna s.60CCLA""tobac""TVPCA",0eubZ00000001IQQAY,S 48.1 ,S 48.1 ,S 48.1 ,0fMbZ00000000mAUAQ,S 48.1 ,19pbZ00000002kzQAA,0fCbZ00000000scUAA
S 48.2.a ,A registrant must ensure thatno one other than a resident engages in a restricted activity while on the premises of the assisted living residence.,0eubZ00000001IRQAY,S 48.2.a ,S 48.2.a ,S 48.2.a ,0fMbZ00000000mBUAQ,S 48.2.a ,19pbZ00000002kzQAA,0fCbZ00000000sdUAA
S 48.2.b ,A registrant must ensure thatemployees do not engage in restricted consumption while providing services to residents.,0eubZ00000001ISQAY,S 48.2.b ,S 48.2.b ,S 48.2.b ,0fMbZ00000000mCUAQ,S 48.2.b ,19pbZ00000002kzQAA,0fCbZ00000000seUAA
S 48.2.c ,"A registrant must ensure thatif necessary for the safety of the resident, a resident who engages in restricted consumption is supervised.",0eubZ00000001ITQAY,S 48.2.c ,S 48.2.c ,S 48.2.c ,0fMbZ00000000mDUAQ,S 48.2.c ,19pbZ00000002kzQAA,0fCbZ00000000sfUAA
S 48.3.a ,"A registrant must make a policy respecting all of the following:the engagement by residents in restricted activities, other than the consumption of medical cannabis, on the premises.",0eubZ00000001IUQAY,S 48.3.a ,S 48.3.a ,S 48.3.a ,0fMbZ00000000mEUAQ,S 48.3.a ,19pbZ00000002kzQAA,0fCbZ00000000sgUAA
S 48.3.b ,"A registrant must make a policy respecting all of the following:the possession and disposal by anyone of tobacco, e-cigarettes and cannabis, other than medical cannabis, on the premises.",0eubZ00000001IVQAY,S 48.3.b ,S 48.3.b ,S 48.3.b ,0fMbZ00000000mFUAQ,S 48.3.b ,19pbZ00000002kzQAA,0fCbZ00000000shUAA
S 48.4.a ,A registrant must ensure that the policy required under subsection .4includes any restrictions on those activities on the premises.,0eubZ00000001IWQAY,S 48.4.a ,S 48.4.a ,S 48.4.a ,0fMbZ00000000mGUAQ,S 48.4.a ,19pbZ00000002kzQAA,0fCbZ00000000siUAA
S 48.4.b ,"A registrant must ensure that the policy required under subsection .5is consistent with the prohibitions and restrictions under the Cannabis Control and Licensing Act or the Tobacco and Vapour Products Control Act, as applicable.",0eubZ00000001IXQAY,S 48.4.b ,S 48.4.b ,S 48.4.b ,0fMbZ00000000mHUAQ,S 48.4.b ,19pbZ00000002kzQAA,0fCbZ00000000sjUAA
S 49.1 ,"In this section, ""FOODSAFE certificate"" means a certificate, issued by a health officer within the meaning of the Public Health Act, evidencing the successful completion of the food handler training program known as FOODSAFE or its equivalent.",0eubZ00000001IYQAY,S 49.1 ,S 49.1 ,S 49.1 ,0fMbZ00000000mIUAQ,S 49.1 ,19pbZ00000002kzQAA,0fCbZ00000000skUAA
S 49.2 ,"A registrant must ensure that food and fluids provided by the registrant to residents are prepared, stored, served and handled safely.",0eubZ00000001IZQAY,S 49.2 ,S 49.2 ,S 49.2 ,0fMbZ00000000mJUAQ,S 49.2 ,19pbZ00000002kzQAA,0fCbZ00000000slUAA
S 49.3 ,"A registrant must ensure that at least one employee who holds a current FOODSAFE certificate is present at the assisted living residence while food is prepared, served and handled.",0eubZ00000001IaQAI,S 49.3 ,S 49.3 ,S 49.3 ,0fMbZ00000000mKUAQ,S 49.3 ,19pbZ00000002kzQAA,0fCbZ00000000smUAA
S 49.4 ,Nothing in subsection (2) or (3) prevents residents from preparing their own food or fluids.,0eubZ00000001IbQAI,S 49.4 ,S 49.4 ,S 49.4 ,0fMbZ00000000mLUAQ,S 49.4 ,19pbZ00000002kzQAA,0fCbZ00000000snUAA
S 50.1 ,"A registrant must ensure that a resident is not, in the course of receiving hospitality services or assisted living services, subjected to any type of abuse or neglect described in Schedule E.",0eubZ00000001IcQAI,S 50.1 ,S 50.1 ,S 50.1 ,0fMbZ00000000mMUAQ,S 50.1 ,19pbZ00000002kzQAA,0fCbZ00000000soUAA
S 51.1.a ,This section applies if a resident isthe subject of or witnesses a type of incident described in Schedule E.,0eubZ00000001IdQAI,S 51.1.a ,S 51.1.a ,S 51.1.a ,0fMbZ00000000mNUAQ,S 51.1.a ,19pbZ00000002kzQAA,0fCbZ00000000spUAA
S 51.1.b ,This section applies if a resident isthe subject of an alleged or suspected incident of any type of abuse or neglect described in Schedule E.,0eubZ00000001IeQAI,S 51.1.b ,S 51.1.b ,S 51.1.b ,0fMbZ00000000mOUAQ,S 51.1.b ,19pbZ00000002kzQAA,0fCbZ00000000sqUAA
S 51.2.a ,A registrant must do all of the following if this section applies:take immediate and appropriate action to respond to the incident.,0eubZ00000001IfQAI,S 51.2.a ,S 51.2.a ,S 51.2.a ,0fMbZ00000000pLUAQ,S 51.2.a ,19pbZ00000002kzQAA,0fCbZ00000000srUAA
S 51.2.b.i ,"A registrant must do all of the following if this section applies:within 24 hours of the incident, report the incident to all of the following:the registrar, in the form and manner required by the registrar.",0eubZ00000001IgQAI,S 51.2.b.i ,S 51.2.b.i ,S 51.2.b.i ,0fMbZ00000000pMUAQ,S 51.2.b.i ,19pbZ00000002kzQAA,0fCbZ00000000ssUAA
S 51.2.b.ii ,"A registrant must do all of the following if this section applies:within 24 hours of the incident, report the incident to all of the following:the resident's contact person, if appropriate, and any other person the resident requests.",0eubZ00000001IhQAI,S 51.2.b.ii ,S 51.2.b.ii ,S 51.2.b.ii ,0fMbZ00000000pNUAQ,S 51.2.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000stUAA
S 51.2.b.iii ,"A registrant must do all of the following if this section applies:within 24 hours of the incident, report the incident to all of the following:if the resident is the beneficiary of a funding program, a representative of the funding program.",0eubZ00000001IiQAI,S 51.2.b.iii ,S 51.2.b.iii ,S 51.2.b.iii ,0fMbZ00000000pOUAQ,S 51.2.b.iii ,19pbZ00000002kzQAA,0fCbZ00000000suUAA
S 51.2.c ,A registrant must do all of the following if this section applies:make a record of the reportable incident and of the actions taken under paragraph .a.,0eubZ00000001IjQAI,S 51.2.c ,S 51.2.c ,S 51.2.c ,0fMbZ00000000pPUAQ,S 51.2.c ,19pbZ00000002kzQAA,0fCbZ00000000svUAA
S 52.1 , A registrant must make a plan describing the procedures to be followed on becoming aware that a resident is a missing person within the meaning of Schedule E.,0eubZ00000001IkQAI,S 52.1 ,S 52.1 ,S 52.1 ,0fMbZ00000000pQUAQ,S 52.1 ,19pbZ00000002kzQAA,0fCbZ00000000swUAA
S 53.1.a ,"If the registrar reasonably believes that the health or safety of residents may be jeopardized, the registrar may require a registrant to make a plan to protect the health and safety of residentsafter conducting an inspection.",0eubZ00000001IlQAI,S 53.1.a ,S 53.1.a ,S 53.1.a ,0fMbZ00000000pRUAQ,S 53.1.a ,19pbZ00000002kzQAA,0fCbZ00000000sxUAA
S 53.1.b ,"If the registrar reasonably believes that the H&S of residents may be jeopardized, the registrar may require a registrant to make a plan to protect the health and safety of residentson receiving a report respecting a reportable incident or a complaint.",0eubZ00000001ImQAI,S 53.1.b ,S 53.1.b ,S 53.1.b ,0fMbZ00000000pSUAQ,S 53.1.b ,19pbZ00000002kzQAA,0fCbZ00000000syUAA
S 53.2 ,A registrant subject to a requirement made under subsection .1,0eubZ00000001InQAI,S 53.2 ,S 53.2 ,S 53.2 ,0fMbZ00000000pTUAQ,S 53.2 ,19pbZ00000002kzQAA,0fCbZ00000000szUAA
S 54.1.a ,A registrant must ensure that hospitality services are provided to residents in a manner thatpromotes resident independence.,0eubZ00000001IoQAI,S 54.1.a ,S 54.1.a ,S 54.1.a ,0fMbZ00000000pUUAQ,S 54.1.a ,19pbZ00000002kzQAA,0fCbZ00000000t0UAA
S 54.1.b ,A registrant must ensure that hospitality services are provided to residents in a manner thatdoes not jeopardize the health or safety of residents.,0eubZ00000001IpQAI,S 54.1.b ,S 54.1.b ,S 54.1.b ,0fMbZ00000000pVUAQ,S 54.1.b ,19pbZ00000002kzQAA,0fCbZ00000000t1UAA
S 55.1 ,"In this section, ""Canada's Food Guide"" means the current edition of the publication produced by or on behalf of the Government of Canada that promotes nutritional health by guiding food selection.",0eubZ00000001IqQAI,S 55.1 ,S 55.1 ,S 55.1 ,0fMbZ00000000pWUAQ,S 55.1 ,19pbZ00000002kzQAA,0fCbZ00000000t2UAA
S 55.2.a ,"A registrant must ensure that a menu plan is developed thatdescribes the meals, fluids and snacks for each day over at least a 4 week cycle.",0eubZ00000001IrQAI,S 55.2.a ,S 55.2.a ,S 55.2.a ,0fMbZ00000000pXUAQ,S 55.2.a ,19pbZ00000002kzQAA,0fCbZ00000000t3UAA
S 55.2.b ,A registrant must ensure that a menu plan is developed thatis consistent with the recommendations set out in Canada's Food Guide.,0eubZ00000001IsQAI,S 55.2.b ,S 55.2.b ,S 55.2.b ,0fMbZ00000000pYUAQ,S 55.2.b ,19pbZ00000002kzQAA,0fCbZ00000000t4UAA
S 55.2.c ,"A registrant must ensure that a menu plan is developed thatprovides for a variety of foods and fluids, taking into consideration the nutritional needs and cultural, spiritual and personal preferences of residents.",0eubZ00000001ItQAI,S 55.2.c ,S 55.2.c ,S 55.2.c ,0fMbZ00000000pZUAQ,S 55.2.c ,19pbZ00000002kzQAA,0fCbZ00000000t5UAA
S 55.3.a ,A registrant must consult with a dietitianto make an initial menu plan.,0eubZ00000001IuQAI,S 55.3.a ,S 55.3.a ,S 55.3.a ,0fMbZ00000000paUAA,S 55.3.a ,19pbZ00000002kzQAA,0fCbZ00000000t6UAA
S 55.3.b.i ,"A registrant must consult with a dietitianto review and, if appropriate, revise the menu plan ifthe daily menu changes significantly.",0eubZ00000001IvQAI,S 55.3.b.i ,S 55.3.b.i ,S 55.3.b.i ,0fMbZ00000000pbUAA,S 55.3.b.i ,19pbZ00000002kzQAA,0fCbZ00000000t7UAA
S 55.3.b.ii ,"A registrant must consult with a dietitianto review and, if appropriate, revise the menu plan if5 years have passed since the menu plan was last reviewed.",0eubZ00000001IwQAI,S 55.3.b.ii ,S 55.3.b.ii ,S 55.3.b.ii ,0fMbZ00000000pcUAA,S 55.3.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000t8UAA
S 55.4.a ,"If a food or fluid is substituted for a food or fluid described in a daily menu, a registrant must ensure thatthe daily menu remains consistent with the recommendations set out in Canada's Food Guide.",0eubZ00000001IxQAI,S 55.4.a ,S 55.4.a ,S 55.4.a ,0fMbZ00000000pdUAA,S 55.4.a ,19pbZ00000002kzQAA,0fCbZ00000000t9UAA
S 55.4.b ,"If a food or fluid is substituted for a food or fluid described in a daily menu, a registrant must ensure thatresidents are informed of the substitution.",0eubZ00000001IyQAI,S 55.4.b ,S 55.4.b ,S 55.4.b ,0fMbZ00000000peUAA,S 55.4.b ,19pbZ00000002kzQAA,0fCbZ00000000tAUAQ
S 56.1.a ,"A registrant must ensure that all meals, fluids and snacks provided to residentsare consistent with the menu plan,",0eubZ00000001IzQAI,S 56.1.a ,S 56.1.a ,S 56.1.a ,0fMbZ00000000pfUAA,S 56.1.a ,19pbZ00000002kzQAA,0fCbZ00000000tBUAQ
S 56.1.b ,"A registrant must ensure that all meals, fluids and snacks provided to residentsare palatable and safe for residents, taking into consideration residents' needs and capabilities.",0eubZ00000001J0QAI,S 56.1.b ,S 56.1.b ,S 56.1.b ,0fMbZ00000000pgUAA,S 56.1.b ,19pbZ00000002kzQAA,0fCbZ00000000tCUAQ
S 56.1.c ,"A registrant must ensure that all meals, fluids and snacks provided to residentsare provided in sufficient portions to meet residents' needs and ensure adequate hydration.",0eubZ00000001J1QAI,S 56.1.c ,S 56.1.c ,S 56.1.c ,0fMbZ00000000phUAA,S 56.1.c ,19pbZ00000002kzQAA,0fCbZ00000000tDUAQ
S 56.2 ,"Nothing in subsection (1) prevents residents from preparing their own meals, fluids or snacks.",0eubZ00000001J2QAI,S 56.2 ,S 56.2 ,S 56.2 ,0fMbZ00000000piUAA,S 56.2 ,19pbZ00000002kzQAA,0fCbZ00000000tEUAQ
S 56.3 ,A registrant must post or otherwise provide to residents the daily menu and meal times.,0eubZ00000001J3QAI,S 56.3 ,S 56.3 ,S 56.3 ,0fMbZ00000000pjUAA,S 56.3 ,19pbZ00000002kzQAA,0fCbZ00000000tFUAQ
S 56.4.a ,"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may access meal services, including byassisting residents to attend the dining room.",0eubZ00000001J4QAI,S 56.4.a ,S 56.4.a ,S 56.4.a ,0fMbZ00000000pkUAA,S 56.4.a ,19pbZ00000002kzQAA,0fCbZ00000000tGUAQ
S 56.4.b ,"A registrant who operates an AL residence of the SN & Persons with Disabilities class must ensure that residents may access meal services, including by providing meals in units for residents temporarily confined, due to medical reasons, to their units.",0eubZ00000001J5QAI,S 56.4.b ,S 56.4.b ,S 56.4.b ,0fMbZ00000000plUAA,S 56.4.b ,19pbZ00000002kzQAA,0fCbZ00000000tHUAQ
S 56.4.c ,"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may access meal services, including byproviding dishes, cups and cutlery appropriate to residents' needs and capabilities.",0eubZ00000001J6QAI,S 56.4.c ,S 56.4.c ,S 56.4.c ,0fMbZ00000000pmUAA,S 56.4.c ,19pbZ00000002kzQAA,0fCbZ00000000tIUAQ
S 57.1.a ,"A registrant must provide housekeeping services thatinclude, at the least, sufficient cleaning of the premises, including regular cleaning of hard surfaces, to prevent disease and ensure a safe, clean and sanitary environment.",0eubZ00000001J7QAI,S 57.1.a ,S 57.1.a ,S 57.1.a ,0fMbZ00000000pnUAA,S 57.1.a ,19pbZ00000002kzQAA,0fCbZ00000000tJUAQ
S 57.1.b ,A registrant must provide housekeeping services thattake into consideration the needs and capabilities of residents.,0eubZ00000001J8QAI,S 57.1.b ,S 57.1.b ,S 57.1.b ,0fMbZ00000000poUAA,S 57.1.b ,19pbZ00000002kzQAA,0fCbZ00000000tKUAQ
S 58.1 ,"In this section, ""linens"" means bed sheets, blankets, towels and face cloths.",0eubZ00000001J9QAI,S 58.1 ,S 58.1 ,S 58.1 ,0fMbZ00000000ppUAA,S 58.1 ,19pbZ00000002kzQAA,0fCbZ00000000tLUAQ
S 58.2 ,A registrant must provide linens to residents who require them.,0eubZ00000001JAQAY,S 58.2 ,S 58.2 ,S 58.2 ,0fMbZ00000000pqUAA,S 58.2 ,19pbZ00000002kzQAA,0fCbZ00000000tMUAQ
S 58.3.a ,"A registrant must ensure that linens are clean, dry and in good condition, and are launderedat least weekly.",0eubZ00000001JBQAY,S 58.3.a ,S 58.3.a ,S 58.3.a ,0fMbZ00000000prUAA,S 58.3.a ,19pbZ00000002kzQAA,0fCbZ00000000tNUAQ
S 58.3.b ,"A registrant must ensure that linens are clean, dry and in good condition, and are launderedmore often as needed to maintain resident health and meet resident needs.",0eubZ00000001JCQAY,S 58.3.b ,S 58.3.b ,S 58.3.b ,0fMbZ00000000psUAA,S 58.3.b ,19pbZ00000002kzQAA,0fCbZ00000000tOUAQ
S 58.4 ,A registrant must provide to residents either personal laundry service or laundry equipment for resident use.,0eubZ00000001JDQAY,S 58.4 ,S 58.4 ,S 58.4 ,0fMbZ00000000ptUAA,S 58.4 ,19pbZ00000002kzQAA,0fCbZ00000000tPUAQ
S 59.1 ,"A registrant must provide to residents a program of social and recreational activities that are appropriate to resident needs, capabilities and preferences.",0eubZ00000001JEQAY,S 59.1 ,S 59.1 ,S 59.1 ,0fMbZ00000000puUAA,S 59.1 ,19pbZ00000002kzQAA,0fCbZ00000000tQUAQ
S 59.2 ,A registrant must post or otherwise provide to residents a calendar of the program of social and recreational activities.,0eubZ00000001JFQAY,S 59.2 ,S 59.2 ,S 59.2 ,0fMbZ00000000pvUAA,S 59.2 ,19pbZ00000002kzQAA,0fCbZ00000000tRUAQ
S 59.3 ,A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that safe transportation is provided to residents if social and recreational activities take place outside the assisted living residence.,0eubZ00000001JGQAY,S 59.3 ,S 59.3 ,S 59.3 ,0fMbZ00000000pwUAA,S 59.3 ,19pbZ00000002kzQAA,0fCbZ00000000tSUAQ
S 60.1.a ,A registrant must provide to residents a 24 hour emergency response system thatenables residents to summon help during a personal emergency.,0eubZ00000001JHQAY,S 60.1.a ,S 60.1.a ,S 60.1.a ,0fMbZ00000000pxUAA,S 60.1.a ,19pbZ00000002kzQAA,0fCbZ00000000tTUAQ
S 60.1.b ,A registrant must provide to residents a 24 hour emergency response system thatis accessible to residents in a manner appropriate to resident needs and capabilities.,0eubZ00000001JIQAY,S 60.1.b ,S 60.1.b ,S 60.1.b ,0fMbZ00000000pyUAA,S 60.1.b ,19pbZ00000002kzQAA,0fCbZ00000000tUUAQ
S 61.1.a ,A registrant must ensure that assisted living services are provided to residents in a manner thatpromotes resident independence.,0eubZ00000001JJQAY,S 61.1.a ,S 61.1.a ,S 61.1.a ,0fMbZ00000000pzUAA,S 61.1.a ,19pbZ00000002kzQAA,0fCbZ00000000tVUAQ
S 61.1.b ,A registrant must ensure that assisted living services are provided to residents in a manner thatdoes not jeopardize the health or safety of residents.,0eubZ00000001JKQAY,S 61.1.b ,S 61.1.b ,S 61.1.b ,0fMbZ00000000q0UAA,S 61.1.b ,19pbZ00000002kzQAA,0fCbZ00000000tWUAQ
S 61.2.a ,A registrant must ensure that assisted living services are providedto a resident in accordance with the resident's personal service plan.,0eubZ00000001JLQAY,S 61.2.a ,S 61.2.a ,S 61.2.a ,0fMbZ00000000q1UAA,S 61.2.a ,19pbZ00000002kzQAA,0fCbZ00000000tXUAQ
S 61.2.b ,"A registrant must ensure that assisted living services are providedby individuals who have the necessary training, experience, skills and other qualifications to provide the service.",0eubZ00000001JMQAY,S 61.2.b ,S 61.2.b ,S 61.2.b ,0fMbZ00000000q2UAA,S 61.2.b ,19pbZ00000002kzQAA,0fCbZ00000000tYUAQ
S 61.3.a ,Subject to subsection .5receive a particular professional health service.,0eubZ00000001JNQAY,S 61.3.a ,S 61.3.a ,S 61.3.a ,0fMbZ00000000q3UAA,S 61.3.a ,19pbZ00000002kzQAA,0fCbZ00000000tZUAQ
S 61.3.b ,"Subject to subsection .6receive a professional health service from a person the resident chooses, including a person who is not employed by the registrant.",0eubZ00000001JOQAY,S 61.3.b ,S 61.3.b ,S 61.3.b ,0fMbZ00000000q4UAA,S 61.3.b ,19pbZ00000002kzQAA,0fCbZ00000000taUAA
S 61.3.c ,"Subject to subsection .7take a particular medication, if prescribed by a health professional.",0eubZ00000001JPQAY,S 61.3.c ,S 61.3.c ,S 61.3.c ,0fMbZ00000000q5UAA,S 61.3.c ,19pbZ00000002kzQAA,0fCbZ00000000tbUAA
S 61.3.d ,Subject to subsection .8receive a medication from a particular pharmacy.,0eubZ00000001JQQAY,S 61.3.d ,S 61.3.d ,S 61.3.d ,0fMbZ00000000q6UAA,S 61.3.d ,19pbZ00000002kzQAA,0fCbZ00000000tcUAA
S 61.4 ,"Subsection (3) of this section does not apply in any of the circumstances listed in section 38 (2) (a), (b), (c) or (e) [respect for personal decisions].",0eubZ00000001JRQAY,S 61.4 ,S 61.4 ,S 61.4 ,0fMbZ00000000q7UAA,S 61.4 ,19pbZ00000002kzQAA,0fCbZ00000000tdUAA
S 61.5 ,"Nothing in this Division authorizes a registrant to perform an activity that the registrant is prohibited from performing under the Health Professions Act, the Pharmacy Operations and Drug Scheduling Act or any other enactment.",0eubZ00000001JSQAY,S 61.5 ,S 61.5 ,S 61.5 ,0fMbZ00000000q8UAA,S 61.5 ,19pbZ00000002kzQAA,0fCbZ00000000teUAA
S 62.1 ,"A registrant who provides assistance with activities of daily living must do so in a manner that takes into consideration residents' safety, needs, capabilities and preferences.",0eubZ00000001JTQAY,S 62.1 ,S 62.1 ,S 62.1 ,0fMbZ00000000q9UAA,S 62.1 ,19pbZ00000002kzQAA,0fCbZ00000000tfUAA
S 63.1.a ,"In paragraph.b) of the definition of ""assisted living services"" in section 1 of the Act, ""assistance with managing medication"" includes one or more of the following:receiving residents' medication from a pharmacy.",0eubZ00000001JUQAY,S 63.1.a ,S 63.1.a ,S 63.1.a ,0fMbZ00000000qAUAQ,S 63.1.a ,19pbZ00000002kzQAA,0fCbZ00000000tgUAA
S 63.1.b ,"In paragraph.b) of the definition of ""assisted living services"" in section 1 of the Act, ""assistance with managing medication"" includes one or more of the following:safekeeping medication on behalf of residents.",0eubZ00000001JVQAY,S 63.1.b ,S 63.1.b ,S 63.1.b ,0fMbZ00000000qBUAQ,S 63.1.b ,19pbZ00000002kzQAA,0fCbZ00000000thUAA
S 63.1.c ,"In paragraph.b) of the definition of ""assisted living services"" in section 1 of the Act, ""assistance with managing medication"" includes one or more of the following:distributing medication to residents from the place where it is kept.",0eubZ00000001JWQAY,S 63.1.c ,S 63.1.c ,S 63.1.c ,0fMbZ00000000qCUAQ,S 63.1.c ,19pbZ00000002kzQAA,0fCbZ00000000tiUAA
S 63.1.d ,"In paragraph.b) of the definition of ""assisted living services"" in section 1 of the Act, ""assistance with managing medication"" includes one or more of the following:administering medication to residents.",0eubZ00000001JXQAY,S 63.1.d ,S 63.1.d ,S 63.1.d ,0fMbZ00000000qDUAQ,S 63.1.d ,19pbZ00000002kzQAA,0fCbZ00000000tjUAA
S 64.1.a ,A registrant who provides assistance with managing medication must make a plan describing the procedures to be followed toensure that assistance with managing medication is provided in a manner that does not jeopardize health or safety.,0eubZ00000001JYQAY,S 64.1.a ,S 64.1.a ,S 64.1.a ,0fMbZ00000000qEUAQ,S 64.1.a ,19pbZ00000002kzQAA,0fCbZ00000000tkUAA
S 64.1.b ,"A registrant who provides assistance with managing medication must make a plan describing the procedures to be followed toprevent theft of medication, if the registrant provides assistance with receiving, safekeeping or distributing medication.",0eubZ00000001JZQAY,S 64.1.b ,S 64.1.b ,S 64.1.b ,0fMbZ00000000qFUAQ,S 64.1.b ,19pbZ00000002kzQAA,0fCbZ00000000tlUAA
S 64.2 ,A registrant who provides assistance with managing medication must make a record for each resident receiving the service that includes a list of the resident's medications.,0eubZ00000001JaQAI,S 64.2 ,S 64.2 ,S 64.2 ,0fMbZ00000000qGUAQ,S 64.2 ,19pbZ00000002kzQAA,0fCbZ00000000tmUAA
S 64.3 ,A registrant who provides assistance with managing medication must support and encourage those residents who have the ability to do so without jeopardizing their health or safety to self-manage medication.,0eubZ00000001JbQAI,S 64.3 ,S 64.3 ,S 64.3 ,0fMbZ00000000qHUAQ,S 64.3 ,19pbZ00000002kzQAA,0fCbZ00000000tnUAA
S 64.4.a ,A registrant who provides assistance with safekeeping medication mustconsult with a pharmacist within the meaning of the Health Professions Act for the purpose of making and revising the plan referred to in subsection .1,0eubZ00000001JcQAI,S 64.4.a ,S 64.4.a ,S 64.4.a ,0fMbZ00000000qIUAQ,S 64.4.a ,19pbZ00000002kzQAA,0fCbZ00000000toUAA
S 64.4.b ,A registrant who provides assistance with safekeeping medication mustkeep a record of the results of the consultation.,0eubZ00000001JdQAI,S 64.4.b ,S 64.4.b ,S 64.4.b ,0fMbZ00000000qJUAQ,S 64.4.b ,19pbZ00000002kzQAA,0fCbZ00000000tpUAA
