Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c$PHOCSParentId__r.Name
0dtbZ00000031Q9QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz3QAE,"Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).;General Requirements;Adequate infection control measures are implemented.","Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031QAQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz4QAE,Eyewear is not disinfected between clients.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Eyewear is not disinfected between clients.;General Requirements;Adequate infection control measures are implemented.,Eyewear is not disinfected between clients.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QBQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz5QAE,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;A straight razor with a fixed blade is used but not cleaned and sterilized between uses.;General Requirements;Adequate infection control measures are implemented.,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QCQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz6QAE,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.;General Requirements;Adequate infection control measures are implemented.,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QDQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz7QAE,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.;General Requirements;Adequate infection control measures are implemented.,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QEQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz8QAE,A new sanitary strip or clean towel for the client is not available.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;A new sanitary strip or clean towel for the client is not available.;General Requirements;Adequate infection control measures are implemented.,A new sanitary strip or clean towel for the client is not available.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QFQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz9QAE,Piercing guns are used for body piercing.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Piercing guns are used for body piercing.;General Requirements;Adequate infection control measures are implemented.,Piercing guns are used for body piercing.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QGQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzAQAU,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements;Adequate infection control measures are implemented.,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QHQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzBQAU,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements;Adequate infection control measures are implemented.,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QIQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzCQAU,"Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).",General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,"General Requirements;Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements;Adequate infection control measures are implemented.","Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements;Adequate infection control measures are implemented."
0dtbZ00000031QJQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzDQAU,A sharps container is not available and/or used.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;A sharps container is not available and/or used.;General Requirements;Adequate infection control measures are implemented.,A sharps container is not available and/or used.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QLQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzFQAU,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements;Adequate infection control measures are implemented.,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QMQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzGQAU,General precautions are not taken to prevent cross-contamination.,General Requirements,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;General precautions are not taken to prevent cross-contamination.;General Requirements;Adequate infection control measures are implemented.,General precautions are not taken to prevent cross-contamination.;General Requirements;Adequate infection control measures are implemented.
0dtbZ00000031QNQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzHQAU,The operator and/or staff are not wearing clean outer garments.,General Requirements,Adequate personal hygiene is practiced.,Vishwantha Gandloju,General Requirements;The operator and/or staff are not wearing clean outer garments.;General Requirements;Adequate personal hygiene is practiced.,The operator and/or staff are not wearing clean outer garments.;General Requirements;Adequate personal hygiene is practiced.
0dtbZ00000031QOQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzIQAU,The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).,General Requirements,Adequate personal hygiene is practiced.,Vishwantha Gandloju,General Requirements;The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).;General Requirements;Adequate personal hygiene is practiced.,The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).;General Requirements;Adequate personal hygiene is practiced.
0dtbZ00000031QzQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,General Requirements,,Vishwantha Gandloju,General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0dtbZ00000031R0QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,General Requirements,,Vishwantha Gandloju,General Requirements;The personal service establishment's operation has been reviewed and accepted.;General Requirements,The personal service establishment's operation has been reviewed and accepted.;General Requirements
0dtbZ00000031R1QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",General Requirements,,Vishwantha Gandloju,"General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0dtbZ00000031R2QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,General Requirements,,Vishwantha Gandloju,General Requirements;Food and/or beverage are offered in an acceptable manner to clients.;General Requirements,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements
0dtbZ00000031R3QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzxQAE,Incompatible activity is not present.,General Requirements,,Vishwantha Gandloju,General Requirements;Incompatible activity is not present.;General Requirements,Incompatible activity is not present.;General Requirements
0dtbZ00000031R4QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzyQAE,A first aid kit is available.,General Requirements,,Vishwantha Gandloju,General Requirements;A first aid kit is available.;General Requirements,A first aid kit is available.;General Requirements
0dtbZ00000031R5QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,General Requirements,,Vishwantha Gandloju,General Requirements;Adequate infection control measures are implemented.;General Requirements,Adequate infection control measures are implemented.;General Requirements
0dtbZ00000031R6QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000W00QAE,Adequate personal hygiene is practiced.,General Requirements,,Vishwantha Gandloju,General Requirements;Adequate personal hygiene is practiced.;General Requirements,Adequate personal hygiene is practiced.;General Requirements
0dtbZ00000032EzQAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9ZQAU,Clients are not provided with UV radiation safety eyewear which covers the eyes securely.,Tanning,Protective eyewear is adequately maintained.,Vishwantha Gandloju,Tanning;Clients are not provided with UV radiation safety eyewear which covers the eyes securely.;Tanning;Protective eyewear is adequately maintained.,Clients are not provided with UV radiation safety eyewear which covers the eyes securely.;Tanning;Protective eyewear is adequately maintained.
0dtbZ00000032F0QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9aQAE,Clients wearing protective eyewear are unable to see through them enough to read the labels and operate the controls on the tanning equipment.,Tanning,Protective eyewear is adequately maintained.,Vishwantha Gandloju,Tanning;Clients wearing protective eyewear are unable to see through them enough to read the labels and operate the controls on the tanning equipment.;Tanning;Protective eyewear is adequately maintained.,Clients wearing protective eyewear are unable to see through them enough to read the labels and operate the controls on the tanning equipment.;Tanning;Protective eyewear is adequately maintained.
0dtbZ00000032F1QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9bQAE,Protective eyewear is not adequate for tanning equipment.,Tanning,Protective eyewear is adequately maintained.,Vishwantha Gandloju,Tanning;Protective eyewear is not adequate for tanning equipment.;Tanning;Protective eyewear is adequately maintained.,Protective eyewear is not adequate for tanning equipment.;Tanning;Protective eyewear is adequately maintained.
0dtbZ00000032F2QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9cQAE,UV radiation warning signs do not contain required information.,Tanning,Appropriate tanning signage is available and posted.,Vishwantha Gandloju,Tanning;UV radiation warning signs do not contain required information.;Tanning;Appropriate tanning signage is available and posted.,UV radiation warning signs do not contain required information.;Tanning;Appropriate tanning signage is available and posted.
0dtbZ00000032F3QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9dQAE,UV radiation warning sign is not posted in plain view and easily readable.,Tanning,Appropriate tanning signage is available and posted.,Vishwantha Gandloju,Tanning;UV radiation warning sign is not posted in plain view and easily readable.;Tanning;Appropriate tanning signage is available and posted.,UV radiation warning sign is not posted in plain view and easily readable.;Tanning;Appropriate tanning signage is available and posted.
0dtbZ00000032F4QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9eQAE,UV radiation warning sign is not posted in the client reception area.,Tanning,Appropriate tanning signage is available and posted.,Vishwantha Gandloju,Tanning;UV radiation warning sign is not posted in the client reception area.;Tanning;Appropriate tanning signage is available and posted.,UV radiation warning sign is not posted in the client reception area.;Tanning;Appropriate tanning signage is available and posted.
0dtbZ00000032F5QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9fQAE,A trained operator is not on site at all times.,Tanning,Operator provides clients with adequate instructions and information on the use of equipment.,Vishwantha Gandloju,Tanning;A trained operator is not on site at all times.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.,A trained operator is not on site at all times.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.
0dtbZ00000032F6QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9gQAE,A photosensitivity agent list not available and reviewed between clients and personnel prior to the initial session and annually thereafter.,Tanning,Operator provides clients with adequate instructions and information on the use of equipment.,Vishwantha Gandloju,Tanning;A photosensitivity agent list not available and reviewed between clients and personnel prior to the initial session and annually thereafter.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.,A photosensitivity agent list not available and reviewed between clients and personnel prior to the initial session and annually thereafter.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.
0dtbZ00000032F7QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9hQAE,An individualized skin phototype evaluation is not provided for each client.,Tanning,Operator provides clients with adequate instructions and information on the use of equipment.,Vishwantha Gandloju,Tanning;An individualized skin phototype evaluation is not provided for each client.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.,An individualized skin phototype evaluation is not provided for each client.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.
0dtbZ00000032F8QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9iQAE,The operator does not instruct clients in maximum exposure time as per manufacturer's instructions.,Tanning,Operator provides clients with adequate instructions and information on the use of equipment.,Vishwantha Gandloju,Tanning;The operator does not instruct clients in maximum exposure time as per manufacturer's instructions.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.,The operator does not instruct clients in maximum exposure time as per manufacturer's instructions.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.
0dtbZ00000032F9QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9jQAE,The operator does not ensure that the client does not exceed maximum exposure time.,Tanning,Operator provides clients with adequate instructions and information on the use of equipment.,Vishwantha Gandloju,Tanning;The operator does not ensure that the client does not exceed maximum exposure time.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.,The operator does not ensure that the client does not exceed maximum exposure time.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.
0dtbZ00000032FAQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9kQAE,The operator does not instruct the client of the location of emergency shut off switch.,Tanning,Operator provides clients with adequate instructions and information on the use of equipment.,Vishwantha Gandloju,Tanning;The operator does not instruct the client of the location of emergency shut off switch.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.,The operator does not instruct the client of the location of emergency shut off switch.;Tanning;Operator provides clients with adequate instructions and information on the use of equipment.
0dtbZ00000032FBQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9lQAE,Use of tanning equipment by a minor under the age of 18 is not in accordance with the directions contained within the medical approval provided.,Tanning,The operator prohibits minors from using tanning facilities.,Vishwantha Gandloju,Tanning;Use of tanning equipment by a minor under the age of 18 is not in accordance with the directions contained within the medical approval provided.;Tanning;The operator prohibits minors from using tanning facilities.,Use of tanning equipment by a minor under the age of 18 is not in accordance with the directions contained within the medical approval provided.;Tanning;The operator prohibits minors from using tanning facilities.
0dtbZ00000032FCQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9mQAE,The operator does not verify identification and/or age documentation.,Tanning,The operator prohibits minors from using tanning facilities.,Vishwantha Gandloju,Tanning;The operator does not verify identification and/or age documentation.;Tanning;The operator prohibits minors from using tanning facilities.,The operator does not verify identification and/or age documentation.;Tanning;The operator prohibits minors from using tanning facilities.
0dtbZ00000032FDQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9nQAE,"Age restriction signage, as prescribed in the regulation, is not posted in a clearly visible location.",Tanning,The operator prohibits minors from using tanning facilities.,Vishwantha Gandloju,"Tanning;Age restriction signage, as prescribed in the regulation, is not posted in a clearly visible location.;Tanning;The operator prohibits minors from using tanning facilities.","Age restriction signage, as prescribed in the regulation, is not posted in a clearly visible location.;Tanning;The operator prohibits minors from using tanning facilities."
0dtbZ00000032FEQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9oQAE,Inadequate/unapproved sterilization method being used.,Tattoo & Body Piercing,"Invasive instruments are adequately cleaned, sterilized and maintained.",Vishwantha Gandloju,"Tattoo & Body Piercing;Inadequate/unapproved sterilization method being used.;Tattoo & Body Piercing;Invasive instruments are adequately cleaned, sterilized and maintained.","Inadequate/unapproved sterilization method being used.;Tattoo & Body Piercing;Invasive instruments are adequately cleaned, sterilized and maintained."
0dtbZ00000032FFQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9pQAE,"Autoclave efficacy (biological, chemical, and physical) is not adequately verified.",Tattoo & Body Piercing,"Invasive instruments are adequately cleaned, sterilized and maintained.",Vishwantha Gandloju,"Tattoo & Body Piercing;Autoclave efficacy (biological, chemical, and physical) is not adequately verified.;Tattoo & Body Piercing;Invasive instruments are adequately cleaned, sterilized and maintained.","Autoclave efficacy (biological, chemical, and physical) is not adequately verified.;Tattoo & Body Piercing;Invasive instruments are adequately cleaned, sterilized and maintained."
0dtbZ00000032FGQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9qQAE,Sterilized equipment not stored in plastic peel packs or equipped with sterilization verification indicators.,Tattoo & Body Piercing,"Invasive instruments are adequately cleaned, sterilized and maintained.",Vishwantha Gandloju,"Tattoo & Body Piercing;Sterilized equipment not stored in plastic peel packs or equipped with sterilization verification indicators.;Tattoo & Body Piercing;Invasive instruments are adequately cleaned, sterilized and maintained.","Sterilized equipment not stored in plastic peel packs or equipped with sterilization verification indicators.;Tattoo & Body Piercing;Invasive instruments are adequately cleaned, sterilized and maintained."
0dtbZ00000032FHQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9rQAE,An Informed Consent form is not provided to the clients.,Tattoo & Body Piercing,The operator requires written consent and/or proper identification.,Vishwantha Gandloju,Tattoo & Body Piercing;An Informed Consent form is not provided to the clients.;Tattoo & Body Piercing;The operator requires written consent and/or proper identification.,An Informed Consent form is not provided to the clients.;Tattoo & Body Piercing;The operator requires written consent and/or proper identification.
0dtbZ00000032FIQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9sQAE,Written consent is not required from the parent or legal guardian for minors.,Tattoo & Body Piercing,The operator requires written consent and/or proper identification.,Vishwantha Gandloju,Tattoo & Body Piercing;Written consent is not required from the parent or legal guardian for minors.;Tattoo & Body Piercing;The operator requires written consent and/or proper identification.,Written consent is not required from the parent or legal guardian for minors.;Tattoo & Body Piercing;The operator requires written consent and/or proper identification.
0dtbZ00000032FJQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9tQAE,The footbath is not completely drained.,Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,Manicure and Pedicure;The footbath is not completely drained.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.,The footbath is not completely drained.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.
0dtbZ00000032FKQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9uQAE,"The footbath basin is not washed with detergent and water, brushed to remove dirt, and rinsed with water.",Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,"Manicure and Pedicure;The footbath basin is not washed with detergent and water, brushed to remove dirt, and rinsed with water.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.","The footbath basin is not washed with detergent and water, brushed to remove dirt, and rinsed with water.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected."
0dtbZ00000032FLQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9vQAE,The footbath is not refilled with lukewarm water above the jets.,Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,Manicure and Pedicure;The footbath is not refilled with lukewarm water above the jets.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.,The footbath is not refilled with lukewarm water above the jets.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.
0dtbZ00000032FMQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9wQAE,An approved disinfectant is not added to the water in the footbath (follow manufacturers instructions for use).,Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,Manicure and Pedicure;An approved disinfectant is not added to the water in the footbath (follow manufacturers instructions for use).;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.,An approved disinfectant is not added to the water in the footbath (follow manufacturers instructions for use).;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.
0dtbZ00000032FNQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9xQAE,Jets are not activated and flushed for at least 10 minutes.,Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,Manicure and Pedicure;Jets are not activated and flushed for at least 10 minutes.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.,Jets are not activated and flushed for at least 10 minutes.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.
0dtbZ00000032FOQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9yQAE,The footbath is not drained and wiped dry.,Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,Manicure and Pedicure;The footbath is not drained and wiped dry.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.,The footbath is not drained and wiped dry.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.
0dtbZ00000032FPQAY,0Z4bZ0000000I1nSAE,Manicure and Pedicure,0eubZ0000000W9zQAE,"At end of the day, the screen and drain plug are not removed from the footbath. Items are not cleaned with detergent and brush and soaked in an approved disinfectant. The screen and drain plug are not replaced.",Manicure and Pedicure,Footbaths are adequately cleaned and disinfected.,Vishwantha Gandloju,"Manicure and Pedicure;At end of the day, the screen and drain plug are not removed from the footbath. Items are not cleaned with detergent and brush and soaked in an approved disinfectant. The screen and drain plug are not replaced.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected.","At end of the day, the screen and drain plug are not removed from the footbath. Items are not cleaned with detergent and brush and soaked in an approved disinfectant. The screen and drain plug are not replaced.;Manicure and Pedicure;Footbaths are adequately cleaned and disinfected."
0dtbZ00000032FQQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA0QAM,Laser is not located in a separate room with a closeable door.,Laser,The laser treatment controlled area is properly maintained and operated.,Vishwantha Gandloju,Laser;Laser is not located in a separate room with a closeable door.;Laser;The laser treatment controlled area is properly maintained and operated.,Laser is not located in a separate room with a closeable door.;Laser;The laser treatment controlled area is properly maintained and operated.
0dtbZ00000032FRQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA1QAM,Laser warning signs are not posted in a visible location and/or do not contain necessary information.,Laser,The laser treatment controlled area is properly maintained and operated.,Vishwantha Gandloju,Laser;Laser warning signs are not posted in a visible location and/or do not contain necessary information.;Laser;The laser treatment controlled area is properly maintained and operated.,Laser warning signs are not posted in a visible location and/or do not contain necessary information.;Laser;The laser treatment controlled area is properly maintained and operated.
0dtbZ00000032FSQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA2QAM,"Reflective items (e.g. jewelry, mirrors) are present in the treatment area.",Laser,The laser treatment controlled area is properly maintained and operated.,Vishwantha Gandloju,"Laser;Reflective items (e.g. jewelry, mirrors) are present in the treatment area.;Laser;The laser treatment controlled area is properly maintained and operated.","Reflective items (e.g. jewelry, mirrors) are present in the treatment area.;Laser;The laser treatment controlled area is properly maintained and operated."
0dtbZ00000032FTQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA3QAM,Transparent windows and openings are not covered.,Laser,The laser treatment controlled area is properly maintained and operated.,Vishwantha Gandloju,Laser;Transparent windows and openings are not covered.;Laser;The laser treatment controlled area is properly maintained and operated.,Transparent windows and openings are not covered.;Laser;The laser treatment controlled area is properly maintained and operated.
0dtbZ00000032FUQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA4QAM,Air evacuation or filtering is inadequate when a Class 4 laser is used.,Laser,The laser treatment controlled area is properly maintained and operated.,Vishwantha Gandloju,Laser;Air evacuation or filtering is inadequate when a Class 4 laser is used.;Laser;The laser treatment controlled area is properly maintained and operated.,Air evacuation or filtering is inadequate when a Class 4 laser is used.;Laser;The laser treatment controlled area is properly maintained and operated.
0dtbZ00000032FVQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA5QAM,Protective eyewear is not worn by operator and/or client when the laser is on.,Laser,Protective eyewear is adequate for the client and operator.,Vishwantha Gandloju,Laser;Protective eyewear is not worn by operator and/or client when the laser is on.;Laser;Protective eyewear is adequate for the client and operator.,Protective eyewear is not worn by operator and/or client when the laser is on.;Laser;Protective eyewear is adequate for the client and operator.
0dtbZ00000032FWQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA6QAM,Protective eyewear is not labelled with the same wavelength as the laser and an OD (optical density) of 5 or higher.,Laser,Protective eyewear is adequate for the client and operator.,Vishwantha Gandloju,Laser;Protective eyewear is not labelled with the same wavelength as the laser and an OD (optical density) of 5 or higher.;Laser;Protective eyewear is adequate for the client and operator.,Protective eyewear is not labelled with the same wavelength as the laser and an OD (optical density) of 5 or higher.;Laser;Protective eyewear is adequate for the client and operator.
0dtbZ00000032FXQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA7QAM,An emergency shut off switch is not available to the operator.,Laser,The laser device is properly maintained and operated.,Vishwantha Gandloju,Laser;An emergency shut off switch is not available to the operator.;Laser;The laser device is properly maintained and operated.,An emergency shut off switch is not available to the operator.;Laser;The laser device is properly maintained and operated.
0dtbZ00000032FYQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA8QAM,The laser is not disabled when not in use.,Laser,The laser device is properly maintained and operated.,Vishwantha Gandloju,Laser;The laser is not disabled when not in use.;Laser;The laser device is properly maintained and operated.,The laser is not disabled when not in use.;Laser;The laser device is properly maintained and operated.
0dtbZ00000032FZQAY,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WA9QAM,The switch that controls patient exposure is not guarded.,Laser,The laser device is properly maintained and operated.,Vishwantha Gandloju,Laser;The switch that controls patient exposure is not guarded.;Laser;The laser device is properly maintained and operated.,The switch that controls patient exposure is not guarded.;Laser;The laser device is properly maintained and operated.
0dtbZ00000032FaQAI,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WAAQA2,The operator has not received laser safety training.,Laser,The operator and/or staff have adequate training.,Vishwantha Gandloju,Laser;The operator has not received laser safety training.;Laser;The operator and/or staff have adequate training.,The operator has not received laser safety training.;Laser;The operator and/or staff have adequate training.
0dtbZ00000032FbQAI,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WABQA2,The operator is not following operating procedures.,Laser,The operator and/or staff have adequate training.,Vishwantha Gandloju,Laser;The operator is not following operating procedures.;Laser;The operator and/or staff have adequate training.,The operator is not following operating procedures.;Laser;The operator and/or staff have adequate training.
0dtbZ00000032FcQAI,0Z4bZ0000000I1oSAE,Laser,0eubZ0000000WACQA2,Unauthorized persons are permitted to operate laser equipment.,Laser,The operator and/or staff have adequate training.,Vishwantha Gandloju,Laser;Unauthorized persons are permitted to operate laser equipment.;Laser;The operator and/or staff have adequate training.,Unauthorized persons are permitted to operate laser equipment.;Laser;The operator and/or staff have adequate training.
